,,,,,,,,,,,,,
,,,,353 804,27 880 869,,237 409 289 009,24 955 515,,222 645 234 424,"3 279 157,200",,23 414 908 060
,Код материала,Наименование товара,Ед. изм,Остаток на начало,Приход,,,Расход,,,Остаток,,
,,,,,Кол-во,Цена,Сумма,Кол-во,Цена,Сумма,Кол-во,Цена,Сумма
,00-00000188,Анкерный болть м12х120  ANKER BOLT 12/120 [320],шт,1 823,1 313,3 985,5 232 800,3 136,3 985,12 498 142,0,3 985,0
,00-00000190,Ротбанд штукатурка гипсовая  UZBOYA RODBOND 25KG [1],шт,5,56 000,0,0,30 005,0,0,"26 000,0000",0,0
,00-00000191,"Отрезной диск  180х1,6  ZONTIK TOSH 1.6/180 [200]",шт,,13 700,9 368,128 339 000,12 314,9 368,115 355 215,1 386,9 368,12 983 785
,00-00000192,"Отрезной диск 230х2,5   ZONTIK TOSH 2.5/230 [100]",шт,1 018,28 400,11 389,323 449 600,25 374,11 389,288 986 273,4 044,11 389,46 057 401
,00-00000194,Анкерный болт м10х80  ANKER BOLT 10/80 [100],шт,274,2 325,2 740,6 371 500,2 599,2 740,7 122 378,0,2 740,0
,00-00000195,Перфоратор PW 113-32-2 Pollwon  FERFARATIR [1],шт,,3,1 040 000,3 120 000,3,1 040 000,3 120 000,"0,0000",1 040 000,0
,00-00000196,Бур для бетон 6х160  ZONTIK BUR 160/6 [500],шт,,2 851,7 948,22 658 500,2 852,7 948,22 666 448,-1,7 948,-7 948
,00-00000197,Бур для бетон 14х160  ZONTIK BUR 160/14 [300],шт,55,910,13 454,12 243 000,454,13 454,6 108 046,511,13 454,6 874 915
,00-00000200,Лезвия малярный ножей (пачка 10шт)LEZVA LIT QORA [300],пачка,1 048,3 800,7 431,28 236 000,4 195,7 431,31 171 058,"653,000",7 431,4 852 134
,00-00000201,Шпатель 100мм  SHPATEEL 100 [120],шт,19,1 160,3 706,4 298 780,918,3 706,3 401 966,261,3 706,967 226
,00-00000202,Валик VALIK PANDA 55 [40],шт,65,5 505,19 414,106 871 544,5 547,19 414,107 686 913,23,19 414,446 511
,00-00000204,Скотч прозрачный SKOVCH VERO 6/300 [18],шт,31,1 258,29 875,37 582 920,1 287,29 875,38 449 299,2,29 875,59 750
,00-00000205,Лопата сопковая LAPATA KICH 250 [100],шт,37,430,18 558,7 980 000,292,18 558,5 418 977,175,18 558,3 247 674
,00-00000206,Анкер клин 6х40 ANKER KLIN 6/40 [2000DONA],шт,1 907,28 500,731,20 844 000,29 411,731,21 510 277,996,731,728 443
,00-00000208,Миксер насадка Хитой  MEKSR XTOY FERFA KOTTA [50],шт,3,1 163,28 099,32 679 660,819,28 099,23 013 449,347,28 099,9 750 509
,00-00000209,Висячий замок  DRON QIZIL 75 [48],шт,4,1 076,30 754,33 091 800,1 080,30 754,33 214 818,0,30 754,0
,00-00000210,Силикон EUROFIX SELIKON [30],шт,213,240,32 500,7 800 000,453,32 500,14 722 500,"0,0000",32 500,0
,00-00000212,Ведро  TAYSIN CHELAK VODY 16LT [30] тайсин,шт,2,4 088,11 569,47 294 028,3 915,11 569,45 292 593,175,11 569,2 024 573
,00-00000216,Гель  GEL QURILISH SVETNOY 5 LETR,шт,109,81,11 012,892 000,190,11 012,2 092 346,"0,0000",11 012,0
,00-00000218,Краска серый ZZZAKAS KRASKA 20KG SERI [1],литр,46,175,131 417,22 998 000,221,131 417,29 043 189,"0,0000",131 417,0
,00-00000219,Краска аэрозоль цвет красный  AYRAZOL QIZIL 23 [12],шт,142,2 256,10 436,23 543 040,1 763,10 436,18 398 218,635,10 436,6 626 698
,00-00000220,Саморез по металу  MEXMASH 50 [22],кг,,251,33 531,8 416 200,251,33 531,8 412 847,"0,1000",33 531,3 353
,00-00000221,Изолента   IZALENTA GLOBI 5SM [100],шт,84,805,22 815,18 366 460,887,22 815,20 237 329,2,22 815,45 631
,00-00000222,Ведро  OQ EMULSYA CHELAK [30],шт,9,440,17 836,7 848 000,449,17 836,8 008 527,"0,0000",17 836,0
,00-00000223,Перчатка  QULQOP М300 ARANJVI XTOY [500],шт,,63 781,4 563,291 002 400,57 272,4 563,261 304 925,6 509,4 563,29 697 475
,00-00000225,Веревка  ARQON ICHAK [100M],м,200,6 930,4 737,32 830 000,5 533,4 737,26 211 889,1 597,4 737,7 565 586
,00-00000228,"Саморез по металу том сарик 1,9см   SAMAREZ TOM SARIQ 1.9 [25]",кг,222,255,39 000,9 945 000,477,39 000,18 618 600,"0,0000",39 000,0
,00-00000229,Пила пена блока ручной PENA ARRA 600 [24],шт,7,37,10 054,372 000,37,10 054,372 000,7,10 054,70 378
,00-00000231,Бур для бетон 8х160  ZONTIK BUR 160/8 [500],шт,73,1 130,8 030,9 073 750,712,8 030,5 717 265,491,8 030,3 942 665
,00-00000233,Бур для бетон 12х350  ZONTIK BUR 350/12 [200],шт,45,690,22 470,15 504 000,665,22 470,14 942 261,70,22 470,1 572 870
,00-00000234,Мешок  QOP 50KG [100],шт,3 221,100 303,1 720,172 512 400,94 934,1 720,163 278 189,8 590,1 720,14 774 050
,00-00000235,Гвоздь 70мм MIX 70[20],кг,302,2 160,12 116,26 170 000,2 462,12 116,29 830 165,"0,000",12 116,0
,00-00000236,Гваздёр  GVAZDYOR MIX 600 [24],шт,,120,17 208,2 065 000,70,17 208,1 204 583,50,17 208,860 417
,00-00000237,Сварояный перчатка  QULQOP KRYAGA XTOY [890],шт,14,1 202,19 902,23 922 000,1 146,19 902,22 807 498,70,19 902,1 393 128
,00-00000238,Аграф 5-8 VODY AGRAF 09 [100],шт,860,33 100,1 189,39 340 000,19 248,1 189,22 876 626,14 712,1 189,17 485 501
,00-00000241,Разбовитель 1л ZONTIK RAZBA KOTTA [15],шт,30,885,8 753,7 746 000,807,8 753,7 063 302,108,8 753,945 275
,00-00000244,Рулетка  ZONTIK METIR YASHIL 10 [60],шт,16,684,26 645,18 225 000,489,26 645,13 029 276,211,26 645,5 622 039
,00-00000245,Изолента  VINI TAPE QORA [500],шт,145,5 563,4 673,25 995 000,4 854,4 673,22 681 958,854,4 673,3 990 604
,00-00000247,Дюбель гвозд 6х40   DUBIL GVOZ MEXTIL 6/40 [1] 4.49KG,кг,188,2 167,39 591,85 794 500,2 157,39 591,85 414 027,"198,01",39 591,7 839 487
,00-00000248,Саморез семичка по металу  SAMAREZ SIMECHKA MEALGA 1.9 [20],кг,24,275,36 818,10 125 000,299,36 818,11 019 682,"0,000",36 818,0
,00-00000249,Скотч  BANDET SKOVCH KICH SERI [72],шт,557,12 421,13 635,169 358 420,11 750,13 635,160 209 438,1 228,13 635,16 743 591
,00-00000250,Кафельный клей  UZBOYA KAFEL KLIY 25KG [1],шт,80,0,0,0,80,0,0,"0,0000",0,0
,00-00000252,Саморез по дереву  SAMAREZ OSTRE 25 [20],кг,1,145,31 262,4 533 000,98,31 262,3 048 052,"48,000",31 262,1 500 579
,00-00000253,Саморез по дереву  SAMAREZ OSTRE 30 [20],кг,10,773,30 638,23 683 500,693,30 638,21 232 426,90,30 638,2 757 458
,00-00000254,Кусачка  ZONTIK KUSACHKA ARANJVE [120],шт,,89,38 699,3 444 200,44,38 699,1 702 751,45,38 699,1 741 449
,00-00000255,Веник  SUPIRGI KICHK,шт,1,1 662,20 299,33 736 500,1 589,20 299,32 254 692,74,20 299,1 502 106
,00-00000256,Сверло по метталу  ZONTIK SIVERLO 10 [500],шт,44,100,18 750,1 875 000,112,18 750,2 100 000,"32,0000",18 750,600 000
,00-00000257,Лопата штиковая  LAPATA KICH 250 [100],шт,68,240,26 000,6 240 000,186,26 000,4 836 000,122,26 000,3 172 000
,00-00000258,Пика  лопата  PEKA KICH [100],шт,47,140,22 864,3 201 000,187,22 864,4 275 621,"0,000",22 864,0
,00-00000259,Шпатель   SHPATEL TISH 200 [120],шт,29,492,7 160,3 522 480,224,7 160,1 603 731,297,7 160,2 126 375
,00-00000260,"Пленка черный SALAFAN QORA [50] 05/2M (1-мт 0,260кг)",кг,5,14 003,17 021,238 345 254,12 621,17 021,214 814 213,1 387,17 021,23 616 146
,00-00000263,Маркер черный MARKER QORA [120],шт,3 300,26 861,2 743,73 689 200,24 034,2 743,65 933 742,6 127,2 743,16 808 523
,00-00000264,Кирки    KERKI KOT [5],шт,2,0,0,0,2,0,0,"0,0000",0,0
,00-00000266,Лопата черенок LAPATKA DASTA SOP [10],шт,2,1 428,9 886,14 116 500,1 143,9 886,11 299 131,287,9 886,2 837 140
,00-00000267,Растворитель 646 VERSHENA 1 [12],шт,100,997,29 135,29 047 260,972,29 135,28 318 893,125,29 135,3 641 833
,00-00000268,Изолента   IZALENTA GLOBI SRIDNI 2.5SM [400],шт,60,9 031,4 429,39 999 300,9 091,4 429,40 265 047,0,4 429,0
,00-00000270,Электрод Арсеналь 4мм (Упаковка 5кг)  ELIKTROD ARSENAL 4 [4],пачка,,1 218,190 096,231 536 800,1 131,190 096,214 998 457,87,190 096,16 538 343
,00-00000272,4СЦ Четырехветвевой строп цепной грузоподъемностью 20 тн длиной 4 метра с укорач крюком (паук),шт,2,0,0,0,2,0,0,"0,0000",0,0
,00-00000273,Металлический хомут 108-116 4* (лехкий),шт.,1 313,29 973,9 571,286 873 808,30 528,9 571,292 185 754,758,9 571,7 254 874
,00-00000274,Металлический Хомут 25-30 3/4 (лехкий),шт.,110,4 310,3 102,13 369 440,2 702,3 102,8 381 491,1 718,3 102,5 329 164
,00-00000275,Металлический хомут 40-46 1 1/4* (лехкий),шт.,85,8 220,3 709,30 486 360,8 305,3 709,30 801 608,"0,0000",3 709,0
,00-00000276,Металлический хомут 45-52 1 1/2* (лехкий),шт.,,20 171,3 938,79 430 480,16 633,3 938,65 498 348,3 538,3 938,13 932 132
,00-00000278,Полотвод из ппр 50мм,шт.,36,1 966,4 936,9 704 064,1 407,4 936,6 944 872,595,4 936,2 936 886
,00-00000279,Муфта из ппр диам 32,шт.,10,2 170,1 458,3 163 414,2 099,1 458,3 059 911,81,1 458,118 081
,00-00000281,Отвод из ппр 50,шт,22,1 289,3 194,4 116 608,1 311,3 194,4 186 868,0,3 194,0
,00-00000282,Тройник из ппр диам 32,шт.,140,81,2 682,217 245,215,2 682,576 638,6,2 682,16 092
,00-00000283,Тройник диам 75,шт.,2,587,119 917,70 391 544,382,119 917,45 808 466,207,119 917,24 822 912
,00-00000284,Труба из ППР PN-16 ХВС диам 20,метр,114,21 019,5 380,113 078 752,21 127,5 380,113 659 774,6,5 380,32 279
,00-00000285,Труба из ппр PN-16 ХВС диам 25,метр,53,888,7 634,6 779 120,847,7 634,6 466 120,94,7 634,717 610
,00-00000286,Труба из ппр PN-16 ХВС диам 32,метр,4,6 484,10 934,70 893 936,5 940,10 934,64 946 018,548,10 934,5 991 653
,00-00000287,Труба из ппр PN-16 ХВС диам 40,метр,232,3 082,16 876,52 011 424,2 743,16 876,46 290 505,571,16 876,9 636 120
,00-00000288,Труба из ппр PN-16 ХВС диам 50,метр,361,1 184,24 022,28 442 416,1 503,24 022,36 105 533,"42,0000",24 022,1 008 937
,00-00000289,Труба из ппр PN-16 ХВС диам 75,метр,,1 040,53 452,55 590 160,733,53 452,39 180 372,307,53 452,16 409 788
,00-00000290,Труба из ППР PN-20 ГВС диам 20,метр,76,15 216,6 156,93 675 304,14 072,6 156,86 632 418,1 220,6 156,7 510 770
,00-00000300,Алмазный диск 125мм,шт,167,2 300,59 917,137 808 000,2 220,59 917,133 026 662,"246,800",59 917,14 787 398
,00-00000301,Алмазный диск 230мм,шт,36,164,116 375,19 085 500,192,116 375,22 344 000,"8,0000",116 375,931 000
,00-00000302,Саморез по дереву 4см,кг,3,575,30 000,17 250 000,411,30 000,12 315 000,"167,0000",30 000,5 010 000
,00-00000304,Труба из ппр PN-16 ХВС 63мм,метр,31,792,33 015,26 148 000,823,33 015,27 171 470,0,33 015,0
,00-00000305,Шлифовальная черепашки 100,шт,25,132,24 076,3 178 000,90,24 076,2 166 818,67,24 076,1 613 076
,00-00000306,Фум лента,шт,,4 187,9 055,37 911 208,3 110,9 055,28 159 507,1 077,9 055,9 751 701
,00-00000307,"Краска нитро цвет белый 2,5кг",шт,23,2,0,0,25,0,0,0,0,0
,00-00000308,Краска половая 2кг,шт,5,2,1 400 000,2 800 000,7,1 400 000,9 800 000,"0,0000",1 400 000,0
,00-00000309,"Краска нитро цвет красная 2,5кг",шт,1,4,0,0,5,0,0,"0,0000",0,0
,00-00000311,Прожектор 500w,шт,13,63,647 892,40 817 200,75,647 892,48 591 905,1,647 892,647 892
,00-00000316,Каронка гипсокартона,шт,2,5,60 000,300 000,2,60 000,120 000,"5,0000",60 000,300 000
,00-00000317,Лед 18W Dusell,шт,5,0,0,0,5,0,0,"0,0000",0,0
,00-00000319,Лед панель 24w,шт,5,102,30 667,3 128 040,98,30 667,3 005 372,9,30 667,276 004
,00-00000320,Лед панель 36w,шт,12,65,53 692,3 490 000,77,53 692,4 134 308,"0,0000",53 692,0
,00-00000321,Розетка двойная внутренный,шт,21,200,28 518,5 703 600,216,28 518,6 159 888,5,28 518,142 590
,00-00000322,Лед простой 24w,шт,11,0,0,0,11,0,0,"0,0000",0,0
,00-00000323,Пожарный щит ПЩ 1200Х600Х230мм,шт,1,198,568 990,112 660 000,144,568 990,81 934 545,55,568 990,31 294 444
,00-00000325,Клавиатура и мышка,шт,2,4,187 125,748 500,6,187 125,1 122 750,"0,0000",187 125,0
,00-00000326,Лед лампочка 60w,шт,85,160,71 500,11 440 000,245,71 500,17 517 500,"0,0000",71 500,0
,00-00000327,Прожектор 200w,шт,10,701,254 303,178 266 600,711,254 303,180 809 633,0,254 303,0
,00-00000329,Гофра 20мм,метр,460,645 150,2 795,1 803 304 000,592 137,2 795,1 655 123 647,53 473,2 795,149 466 132
,00-00000330,Кобра прожектор 150w,шт,7,0,0,0,7,0,0,"0,0000",0,0
,00-00000331,Прожектор 400w,шт,3,40,500 250,20 010 000,43,500 250,21 510 750,"0,0000",500 250,0
,00-00000332,"Кабель ПУГНП 2х2,5мм2",метр,260,61 250,11 263,689 833 500,52 698,11 263,593 510 218,8 813,11 263,99 251 555
,00-00000333,"Кабель ПУГНП 2х1,5мм2",метр,1 166,38 900,6 376,248 024 000,33 621,6 376,214 362 234,6 446,6 376,41 096 110
,00-00000334,Щит 500х400,шт,18,42,236 217,9 921 100,60,236 217,14 173 000,"0,0000",236 217,0
,00-00000336,Бетон контакт Вентум (1шт 10кг),шт,42,3 220,10 522,33 880 000,3 226,10 522,33 943 130,36,10 522,378 783
,00-00000337,Пленка прозрачный,кг,99,221,23 400,5 171 400,320,23 400,7 488 000,"0,0000",23 400,0
,00-00000338,Грунтовка акрил 5кг,шт,33,5,144 000,720 000,37,144 000,5 328 000,1,144 000,144 000
,00-00000339,Автомат 3фазный 25А,шт,101,399,47 725,19 042 400,451,47 725,21 524 116,49,47 725,2 338 540
,00-00000340,Саморез по дереву 5см,кг,50,102,31 094,3 171 600,152,31 094,4 710 759,"0,000",31 094,0
,00-00000341,"Саморез по дереву белый семичка 1,9см",кг,51,0,0,0,51,0,0,0,0,0
,00-00000342,Саморез по металу шестигранный том сарик 3см,кг,397,746,38 988,29 085 000,1 143,38 988,44 555 413,"0,0000",38 988,0
,00-00000343,Саморез по металу том сарик 5см (шестигранный),кг,46,85,39 000,3 315 000,131,39 000,5 116 800,"0,0000",39 000,0
,00-00000345,Саморез по дереву белый 2см,кг,78,0,0,0,78,0,0,"0,0000",0,0
,00-00000348,Бетон гвозд 70мм,кг,98,158,27 238,4 290 000,256,27 238,6 959 333,0,27 238,0
,00-00000349,Саморез белый 10см,кг,3,3,30 000,90 000,6,30 000,180 000,"0,0000",30 000,0
,00-00000350,Губка,шт,45,695,8 361,5 810 600,737,8 361,6 161 744,"3,0000",8 361,25 082
,00-00000352,Порох гвозд 8х32,шт,2 690,10 400,588,6 115 000,12 097,588,7 112 803,993,588,583 865
,00-00000353,Мастерок строителный,шт,50,24,13 000,312 000,74,13 000,962 000,"0,0000",13 000,0
,00-00000354,Ковш строительный,шт,30,15,10 400,156 000,45,10 400,468 000,"0,0000",10 400,0
,00-00000355,Уровен шланг,метр,53,110,70 273,7 730 000,163,70 273,11 454 455,"0,0000",70 273,0
,00-00000356,Шпатель 200мм,шт,22,24,5 668,136 032,46,5 668,260 728,"0,0000",5 668,0
,00-00000357,Шпатель 250мм,шт,11,0,0,0,11,0,0,"0,0000",0,0
,00-00000358,Маска респиратор,шт,120,7 340,19 426,142 586 000,7 009,19 426,136 156 032,451,19 426,8 761 074
,00-00000359,Силикон Akfix колбасный,шт,109,431,43 701,18 835 000,540,43 701,23 598 376,"0,0000",43 701,0
,00-00000360,МДФ 400мм,шт,6,0,0,0,6,0,0,"0,0000",0,0
